year,district,us_house_dem,us_house_rep,us_house_total
2016,13,184693,171149,355842
2016,14,195789,121088,316877
2016,15,135475,182999,318474
2016,16,155262,230654,385916
2016,17,115974,209348,338675
2016,18,161918,201488,375918
2016,19,123812,239225,363166
2016,20,222914,54646,277560
2016,21,210606,118038,335861
2016,22,199113,138737,337850
2016,23,183225,130818,323120
2016,25,95319,157921,253240
2016,26,115493,148547,280542
2016,27,129760,157917,287677
2022,1,93467,197349,290816
2022,2,121153,180236,301389
2022,3,103382,178101,284893
2022,4,108402,165696,274103
2022,6,0,226548,300755
2022,7,126079,177966,304055
2022,8,120080,222128,342208
2022,9,108541,93827,202368
2022,10,117955,78844,199910
2022,11,115647,205995,326609
2022,12,95390,226601,321995
2022,13,153876,181487,341546
2022,14,149737,113427,263164
2022,15,102835,145219,248054
2022,16,115575,189762,305358
2022,17,123798,222483,348506
2022,18,0,167429,224234
2022,19,100226,213035,313274
2022,20,136215,52151,188366
2022,21,119891,208614,328505
2022,22,150010,122194,272204
2022,23,143951,130681,279049
2022,24,133442,52449,185891
2022,25,129113,105239,234352
2022,26,58868,143240,202108
2022,27,101404,136038,237442
2022,28,76665,134457,211150
