year,county,president_dem,president_rep,president_total,governor_dem,governor_rep,governor_total,us_senate_dem,us_senate_rep,us_senate_total,attorney_general_dem,attorney_general_rep,attorney_general_total,cfo_dem,cfo_rep,cfo_total,agriculture_commissioner_dem,agriculture_commissioner_rep,agriculture_commissioner_total,us_house_dem,us_house_rep,us_house_total,state_senate_dem,state_senate_rep,state_senate_total,state_house_dem,state_house_rep,state_house_total
2016,Palm Beach,374673,272402,662332,0,0,0,350625,287899,652813,0,0,0,0,0,0,0,0,0,373247,250604,635719,127216,112749,239965,210441,103150,326696
2016,Pasco,90142,142101,241139,0,0,0,88665,134779,237602,0,0,0,0,0,0,0,0,0,74832,159472,234304,0,51215,51312,33741,34432,68173
2016,Pinellas,233701,239201,492403,0,0,0,222928,236421,484314,0,0,0,0,0,0,0,0,0,223885,260020,483905,45551,152961,198867,201592,232917,434509
2016,Polk,117433,157430,284314,0,0,0,110363,156196,280287,0,0,0,0,0,0,0,0,0,115365,152164,268663,80298,90714,171012,110156,157261,267417
2016,Putnam,10094,22138,33117,0,0,0,9910,21474,32701,0,0,0,0,0,0,0,0,0,11685,18858,32109,11414,20914,32328,10223,21601,31824
2016,Santa Rosa,18464,65339,87745,0,0,0,16284,66921,87023,0,0,0,0,0,0,0,0,0,20396,65144,85540,0,72526,72629,2123,6874,8997
2016,Sarasota,97870,124438,229063,0,0,0,92332,124163,225556,0,0,0,0,0,0,0,0,0,88485,129556,221006,92065,124795,216860,81089,119930,201019
2016,Seminole,105914,109443,224896,0,0,0,94449,117734,221412,0,0,0,0,0,0,0,0,0,103836,114820,218679,0,0,0,22368,75112,124872
2016,St. Johns,43099,88684,136514,0,0,0,35580,95753,135585,0,0,0,0,0,0,0,0,0,36053,94246,132531,37988,91889,129877,7041,13245,20286
2016,St. Lucie,66881,70289,140847,0,0,0,69590,66222,139581,0,0,0,0,0,0,0,0,0,66336,67229,138623,54723,79561,134284,25236,31458,56696
2016,Sumter,22638,52730,76665,0,0,0,21187,51846,75895,0,0,0,0,0,0,0,0,0,20283,51987,73717,0,57907,57999,0,0,0
2016,Suwannee,3964,14287,18694,0,0,0,4483,13335,18503,0,0,0,0,0,0,0,0,0,4109,13553,18077,0,0,0,6076,12248,18324
2016,Taylor,2152,6930,9290,0,0,0,2658,6216,9232,0,0,0,0,0,0,0,0,0,2422,6391,8996,4202,4818,9020,0,0,0
2016,Union,1014,4568,5694,0,0,0,1064,4313,5575,0,0,0,0,0,0,0,0,0,1137,4347,5609,0,0,0,1148,4205,5353
2016,Volusia,109091,143007,260869,0,0,0,104531,139933,256677,0,0,0,0,0,0,0,0,0,108879,141764,250643,39493,134765,214108,104394,140270,244664
2016,Wakulla,4348,10512,15351,0,0,0,4852,9773,15199,0,0,0,0,0,0,0,0,0,4583,9942,14862,7809,7184,14993,0,0,0
2016,Walton,6876,25756,33637,0,0,0,6334,25722,33338,0,0,0,0,0,0,0,0,0,7580,24679,32259,0,0,0,0,24804,32409
2016,Washington,2264,8637,11156,0,0,0,2232,8323,11030,0,0,0,0,0,0,0,0,0,2213,8403,10920,0,0,0,0,7763,10795
2022,Alachua,0,0,0,54796,40321,95901,55439,39220,95734,54051,40899,94950,54069,39927,93996,53785,39810,93595,55454,38704,95210,20021,15567,35588,47808,29196,77004
2022,Baker,0,0,0,1092,9594,10725,1181,9431,10692,1081,9523,10604,1155,9219,10374,1162,9328,10490,1152,9379,10612,0,0,0,0,0,0
2022,Bay,0,0,0,14091,52590,67093,14547,51657,66956,13991,52728,66719,12913,53919,66832,14810,51333,66143,14990,51848,66838,14443,51817,66260,0,0,0
2022,Bradford,0,0,0,1852,8346,10267,1942,8156,10210,1790,8329,10119,1892,8141,10033,1886,8089,9975,1859,8179,10168,0,0,0,0,0,0
2022,Brevard,0,0,0,95131,170562,267453,98978,165233,267163,88987,175358,264345,93923,167742,261665,94301,167640,261941,95227,169767,264994,9343,18774,28117,33468,59291,92875
2022,Broward,0,0,0,343286,251238,598607,353575,238962,598046,344127,245705,589832,343187,243960,587147,345307,238801,584108,350531,230876,584754,68330,47679,116009,155299,128762,284061
2022,Calhoun,0,0,0,657,4180,4858,700,4067,4832,652,4179,4831,680,4151,4831,741,4044,4785,768,4068,4836,704,4079,4783,0,0,0
2022,Charlotte,0,0,0,27005,65357,92706,27757,63845,92448,26285,65053,91338,26661,63646,90307,27142,63610,90752,27343,63900,91854,26925,63504,90429,0,0,0
2022,Citrus,0,0,0,19100,56283,75826,19634,55087,75668,17584,57574,75158,19001,55481,74482,17835,56660,74495,19245,55827,75073,0,54782,71884,0,0,0
2022,Clay,0,0,0,22187,67292,90119,23054,65972,90049,21369,68074,89443,22248,66731,88979,22383,66563,88946,22530,66983,89517,0,0,0,18392,51146,69538
2022,Collier,0,0,0,45815,117477,163759,46537,116050,163489,44781,116420,161201,44736,115445,160181,45380,114378,159758,46441,115138,161719,0,0,0,7524,19500,27024
